Year,City,Sport,Athlete,Country,Gender,Event,Medal
1998,Nagano,Curling,"BETKER, Jan",CAN,Women,Curling,Gold
1998,Nagano,Curling,"FORD, Atina",CAN,Women,Curling,Gold
1998,Nagano,Curling,"GUDEREIT, Marcia",CAN,Women,Curling,Gold
1998,Nagano,Curling,"MCCUSKER, Joan",CAN,Women,Curling,Gold
1998,Nagano,Curling,"SCHMIRLER, Sandra",CAN,Women,Curling,Gold
2002,Salt Lake City,Curling,"LAW, Kelley",CAN,Women,Curling,Bronze
2002,Salt Lake City,Curling,"NELSON, Diane",CAN,Women,Curling,Bronze
2002,Salt Lake City,Curling,"NOBLE, Cheryl",CAN,Women,Curling,Bronze
2002,Salt Lake City,Curling,"SKINNER, Julie",CAN,Women,Curling,Bronze
2002,Salt Lake City,Curling,"WHEATCROFT, Georgina",CAN,Women,Curling,Bronze
2006,Turin,Curling,"BAKKER, Glenys",CAN,Women,Curling,Bronze
2006,Turin,Curling,"JENKINS, Sandra",CAN,Women,Curling,Bronze
2006,Turin,Curling,"KESHEN, Christine",CAN,Women,Curling,Bronze
2006,Turin,Curling,"KLEIBRINK, Shannon",CAN,Women,Curling,Bronze
2006,Turin,Curling,"NIXON, Amy",CAN,Women,Curling,Bronze
2010,Vancouver,Curling,"BARTEL, Cori",CAN,Women,Curling,Silver
2010,Vancouver,Curling,"BERNARD, Cheryl",CAN,Women,Curling,Silver
2010,Vancouver,Curling,"DARBYSHIRE, Carolyn",CAN,Women,Curling,Silver
2010,Vancouver,Curling,"MOORE, Kristie",CAN,Women,Curling,Silver
2010,Vancouver,Curling,"O CONNOR, Susan",CAN,Women,Curling,Silver
2014,Sochi,Curling,"JONES, Jennifer",CAN,Women,Curling,Gold
2014,Sochi,Curling,"LAWES, Kaitlyn",CAN,Women,Curling,Gold
2014,Sochi,Curling,"MCEWEN, Dawn",CAN,Women,Curling,Gold
2014,Sochi,Curling,"OFFICER, Jill",CAN,Women,Curling,Gold
2014,Sochi,Curling,"WALL, Kirsten",CAN,Women,Curling,Gold